iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
1,1,0.00192007,0.0148588,0.000976025,0.0177549
2,1,0.00331039,0.0258574,0.00162007,0.0307879
3,1,0.00462161,0.0333449,0.00235623,0.0403227
4,1,0.00581688,0.0393089,0.00306315,0.0481889
5,1,0.00727343,0.0457659,0.00341557,0.0564549
6,1,0.00858721,0.051477,0.0036986,0.0637629
7,1,0.00960627,0.0571339,0.00446575,0.071206
8,1,0.0125351,0.0619237,0.00502193,0.0794807
9,1,0.0137902,0.0671412,0.00610648,0.0870378
10,1,0.015243,0.0763865,0.00734383,0.0989733
11,1,0.0187902,0.0856405,0.00783823,0.112269
12,1,0.0199701,0.0927382,0.00850361,0.121212
13,1,0.0211566,0.09746,0.00890454,0.127521
14,1,0.0226931,0.103116,0.00947527,0.135284
15,1,0.0238788,0.108154,0.00985043,0.141883
16,1,0.0249285,0.113959,0.0101686,0.149056
17,1,0.0260681,0.119061,0.0105458,0.155675
18,1,0.0272256,0.123836,0.0110945,0.162156
19,1,0.0282939,0.12969,0.0113227,0.169307
20,1,0.0295075,0.134603,0.0115443,0.175655
21,1,0.0307392,0.13966,0.0119066,0.182306
22,1,0.0323914,0.143883,0.0124983,0.188773
23,1,0.0336824,0.148583,0.0129109,0.195176
24,1,0.0348957,0.153522,0.0130879,0.201506
25,1,0.0360717,0.158476,0.013546,0.208094
26,1,0.0372548,0.166337,0.0155402,0.219132
27,1,0.0383751,0.171735,0.0157755,0.225886
28,1,0.0393166,0.176912,0.0161398,0.232369
29,1,0.0404975,0.18243,0.0166749,0.239602
30,1,0.0418519,0.187216,0.0171063,0.246174
31,1,0.0429796,0.192347,0.0174205,0.252747
32,1,0.043877,0.197319,0.0178326,0.259029
33,1,0.0452351,0.202371,0.0182305,0.265836
34,1,0.0463317,0.207735,0.0185951,0.272662
35,1,0.0476232,0.213549,0.0191418,0.280314
36,1,0.0487971,0.218801,0.0193316,0.28693
37,1,0.0499799,0.223341,0.019696,0.293017
38,1,0.0512334,0.22859,0.0199498,0.299774
39,1,0.0525019,0.233094,0.0203992,0.305996
40,1,0.0536001,0.237912,0.0208728,0.312385
41,1,0.0548928,0.242862,0.0213737,0.319129
42,1,0.0564095,0.247348,0.0217612,0.325519
43,1,0.0573982,0.252072,0.02219,0.331661
44,1,0.0584414,0.257116,0.0225181,0.338075
45,1,0.0598806,0.261368,0.0228634,0.344112
46,1,0.0611761,0.266143,0.0232655,0.350585
47,1,0.0624255,0.270804,0.0236775,0.356907
48,1,0.0636321,0.275245,0.0240125,0.362889
49,1,0.0647809,0.279618,0.0245973,0.368996
50,1,0.066075,0.283778,0.0250167,0.374869
51,1,0.0674729,0.288531,0.0253811,0.381385
52,1,0.0687688,0.293116,0.0257923,0.387677
53,1,0.0699975,0.29764,0.0261723,0.393809
54,1,0.0711756,0.302263,0.0266542,0.400092
