iteration,elapsed_seconds
1,0.0140977
2,0.00398911
3,0.0269891
4,0.0356567
5,0.0327851
6,0.0340127
7,0.034033
8,0.029392
9,0.0331776
10,0.0330765
11,0.0336807
12,0.033388
13,0.0324071
14,0.0332318
15,0.0333503
16,0.0331283
17,0.0332105
18,0.0332326
19,0.0336561
20,0.0331339
21,0.0332134
22,0.0344395
23,0.0332497
24,0.0332772
25,0.0334604
26,0.0328913
27,0.0324953
28,0.0333759
29,0.0333886
30,0.0333569
31,0.0332892
32,0.0344021
33,0.0333218
34,0.0332157
35,0.0321682
36,0.0335062
37,0.0331938
38,0.0333292
39,0.0331489
40,0.0334901
41,0.0341159
42,0.0330036
43,0.0341092
44,0.0325659
45,0.033725
46,0.0326105
47,0.0330225
48,0.0364388
49,0.0332342
50,0.0350727
51,0.0318914
52,0.0348466
53,0.0332616
54,0.0326269
55,0.0321943
56,0.03341
57,0.0330302
58,0.0335109
59,0.033277
60,0.0346344
61,0.0320274
62,0.0332553
63,1.02087
64,2.00255
65,2.00332
66,2.00212
67,2.00363
68,1.68302
69,0.0427799
70,0.0303259
71,0.0312539
72,1.46817
73,0.0469486
74,0.0330118
75,0.0340064
76,0.058563
77,0.0524869
78,1.01903
79,2.00407
80,2.00311
81,2.00321
82,2.00342
83,2.00347
84,2.00433
85,2.00265
86,2.00299
87,2.00351
88,2.0043
89,2.0039
90,2.00316
91,2.00382
92,2.00409
93,2.00352
94,2.00334
95,2.00315
96,2.00382
97,2.00355
98,2.00346
99,2.00303
100,2.00252
101,2.004
102,0.790876
103,0.0438316
104,0.0330141
105,0.0339075
106,0.0468547
107,0.0359774
108,0.0440939
109,2.00247
110,0.0509306
111,0.0334173
112,0.0333032
113,0.675866
114,0.0565823
115,0.0332778
116,0.0330773
117,0.0335106
118,0.0503075
119,0.0298108
120,0.0335631
121,0.0337913
122,2.0018
123,2.00238
124,2.00199
125,2.00169
126,0.812049
127,0.0491746
128,0.033504
129,0.0330795
130,0.0348075
131,0.0328923
132,0.033303
133,0.033236
134,1.01873
135,2.00196
136,0.0811249
137,0.0330639
138,1.01774
139,0.264551
140,0.032645
141,0.0333406
142,0.0334418
143,0.400351
144,0.0326354
145,0.03328
146,0.518999
147,0.0309514
148,0.0329651
149,2.00152
150,2.00242
151,2.0024
152,0.911603
153,0.046069
154,0.0322989
155,0.0341233
156,0.0389476
157,0.0227465
158,0.0337472
159,0.0329254
160,0.0441714
161,0.066762
162,0.0240036
163,0.436321
164,0.0645626
165,0.0811727
166,2.00844
167,0.71612
168,0.0250637
169,0.03296
170,0.0330559
171,0.0331899
172,0.0341095
173,1.01786
174,0.388292
175,0.0334766
176,0.0325779
177,0.0327649
178,0.0336812
179,0.0332174
180,0.0351964
181,2.00282
182,0.930584
183,0.0499758
184,0.0339746
185,1.01775
186,2.00247
187,2.006
188,1.12635
189,0.0534991
190,0.0347606
191,0.0345792
192,0.0325697
193,0.0335884
194,1.01851
195,1.23319
196,0.0490973
197,0.0345631
198,0.0341605
199,0.0329424
200,0.0331855
201,0.0327379
202,2.00382
203,0.931894
204,0.0355667
205,0.03478
206,0.0331814
207,0.0312916
208,0.033484
209,0.0331968
210,0.0335141
211,0.0333303
212,0.0332353
213,0.0334206
214,0.0324146
215,0.0331901
216,0.0330103
217,0.0332984
218,0.0333683
219,0.0334115
220,0.0351867
221,0.0483105
222,0.0329273
223,0.0334136
224,0.0332675
225,0.0337344
226,0.0335552
227,0.0334644
228,0.0324687
229,0.0330743
230,0.0336231
231,0.0331795
232,0.0332768
233,0.0333053
234,0.0346136
235,0.0332209
236,0.0333876
237,0.0332085
238,0.0335894
239,0.0333609
240,0.0330836
241,0.0330576
242,0.0334603
243,0.0332426
244,0.033263
245,0.0333702
246,0.0331527
247,0.0335008
248,0.033448
249,0.0334099
250,0.0330314
251,0.0334489
252,0.0333276
253,0.0333037
254,0.0334193
255,0.0330141
256,0.0337902
257,0.032863
258,0.0335326
259,0.0336607
260,0.0330021
261,0.0331163
262,0.0333235
263,0.0336145
264,0.0329818
265,0.0347192
266,0.0332397
267,0.0334312
268,0.0332943
269,0.0334508
270,0.0333277
271,0.0332373
272,0.0332432
273,0.0354959
274,0.0315381
275,0.0321333
276,0.0341299
277,0.0320421
278,0.0333003
279,0.0333806
280,0.0332222
281,0.0334058
282,0.0333726
283,0.033453
284,0.0331709
285,0.0332568
286,0.0336935
287,0.0340334
288,0.0332961
289,0.0332875
290,0.0333325
