iteration,elapsed_seconds
1,0.0324845
2,0.0115463
3,0.0358154
4,0.0328815
5,0.0338195
6,0.0328222
7,0.0317515
8,0.0334284
9,0.0331483
10,0.0330012
11,0.033571
12,0.0334393
13,0.0333348
14,0.033515
15,0.033552
16,0.0328704
17,0.0331556
18,0.033709
19,0.0330646
20,0.0330449
21,0.0509656
22,0.0339976
23,0.0314885
24,0.0337096
25,0.0331824
26,0.0331155
27,0.0337863
28,0.0332408
29,0.0328445
30,0.0334269
31,0.0333792
32,0.0335697
33,0.0332776
34,0.0329387
35,0.033533
36,0.0336405
37,0.0327862
38,0.0333221
39,0.0331887
40,0.0335239
41,0.0330195
42,0.0338759
43,0.0336039
44,0.0327708
45,0.0377264
46,0.0327563
47,0.0332668
48,0.0337936
49,0.0330665
50,0.0329764
51,0.0336666
52,0.0333349
53,0.0337092
54,0.0334518
55,0.0331762
56,0.0329494
57,0.0332635
58,0.033596
59,0.0331805
60,0.0335039
61,0.0327758
62,0.0333762
63,0.0336458
64,0.0329905
65,0.0333718
66,0.0333563
67,0.0333802
68,0.0331472
69,0.0334977
70,0.0332258
71,0.0331584
72,0.03306
73,0.0335081
74,0.0330993
75,0.0333436
76,0.0337211
77,0.033594
78,0.0332573
79,0.0333433
80,0.0334745
81,0.0333044
82,0.0331905
83,0.0334953
84,0.0330773
85,0.033457
86,0.0333889
87,0.0331955
88,0.0332939
89,0.0333173
90,0.0334151
91,0.0333077
92,0.033506
93,0.0332116
94,0.0329218
95,0.0335458
96,0.0335146
97,0.0330413
98,0.0337584
99,0.0329719
100,0.0333539
iteration,elapsed_seconds
1,0.0388202
2,0.0193247
3,0.0222248
4,0.0248345
5,0.0327585
6,0.0327797
7,0.0320279
8,0.0331624
9,0.0333704
10,0.0333597
11,0.0332971
12,0.0331574
13,0.0333999
14,0.0332181
15,0.0333283
16,0.0335993
17,0.0332946
18,0.033264
19,0.033193
20,0.0335297
21,0.0329431
22,0.0335293
23,0.033271
24,0.0334296
25,0.0334551
26,0.0330113
27,0.0332028
28,0.0332901
29,0.0332797
30,0.0336119
31,0.0330613
32,0.0336976
33,0.0329243
34,0.0334388
35,0.0335852
36,0.032849
37,0.0334506
38,0.0331803
39,0.033382
40,0.0332327
41,0.0336109
42,0.0333411
43,0.033149
44,0.0333852
45,0.0332198
46,0.0337938
47,0.0328557
48,0.0334585
49,0.0331149
50,0.0332899
51,0.0333515
52,0.0331787
53,0.0336368
54,0.0329321
55,0.0334083
56,0.0336727
57,0.0330942
58,0.0334353
59,0.0334549
60,0.0332025
61,0.0384001
62,0.0328912
63,0.0337057
64,0.033382
65,0.0332167
66,0.033301
67,0.0333344
68,0.0332007
69,0.0333159
70,0.0332618
71,0.0336112
72,0.0329916
73,0.0334325
74,0.033214
75,0.0330393
76,0.0337353
77,0.0329521
78,0.0337314
79,0.0331748
80,0.0334695
81,0.0330283
82,0.0335434
83,0.0332511
84,0.0335233
85,0.0330496
86,0.0336086
87,0.0329154
88,0.0336068
89,0.0331821
90,0.0332734
91,0.0357416
92,0.0331837
93,0.0333039
94,0.0333559
95,0.0332945
96,0.0334968
97,0.033103
98,0.0337791
99,0.0326389
100,0.0333045
iteration,elapsed_seconds
1,0.0199255
2,0.00582982
3,0.0255139
4,0.0335742
5,0.0327544
6,0.033948
7,0.0325303
8,0.0316085
9,0.033568
10,0.033401
11,0.033181
12,0.0332631
13,0.0332517
14,0.0334586
15,0.033413
16,0.0334131
17,0.0330131
18,0.0332448
19,0.0336227
20,0.0331442
21,0.0332853
22,0.0332956
23,0.0334134
24,0.0331264
25,0.033244
26,0.0332352
27,0.0336819
28,0.0329357
29,0.0335557
30,0.0328836
31,0.0338161
32,0.0332097
33,0.0332856
34,0.0355969
35,0.0333012
36,0.0335516
37,0.0332554
38,0.0332294
39,0.033012
40,0.0332781
41,0.0335576
42,0.0333074
43,0.0332657
44,0.0333497
45,0.0332847
46,0.0331624
47,0.0336775
48,0.0332101
49,0.0333859
50,0.0331432
51,0.0333995
52,0.0333838
53,0.033207
54,0.0335389
55,0.0329984
56,0.0334777
57,0.0333214
58,0.0332299
59,0.0332813
60,0.0330382
61,0.0332838
62,0.0334125
63,0.0333388
64,0.0377866
65,0.0325616
66,0.0337478
67,0.0333912
68,0.0330455
69,0.0336953
70,0.0333044
71,0.0330169
72,0.0331257
73,0.0338733
74,0.0328707
