iteration,elapsed_seconds
1,0.0247586
2,0.00585205
3,0.0456762
4,0.0324687
5,0.0327309
6,0.0310108
7,0.0345055
8,0.032267
9,0.0334229
10,0.0331145
11,0.033547
12,0.033434
13,0.0330819
14,0.0333251
15,0.0333005
16,0.0334332
17,0.0333013
18,0.0334841
19,0.0334235
20,0.0327811
21,0.033715
22,0.0329418
23,0.033469
24,0.0331332
25,0.0334709
26,0.0330954
27,0.0334539
28,0.0336155
29,0.0334063
30,0.0331556
31,0.0332601
32,0.033283
33,0.0334496
34,0.0330094
35,0.0334323
36,0.0332548
37,0.0331981
38,0.0336533
39,0.0328875
40,0.0336236
41,0.0332852
42,0.0329627
43,0.0336297
44,0.033337
45,0.0333351
46,0.037418
47,0.0328724
48,0.0335347
49,0.0333995
50,0.0328921
51,0.0336525
52,0.03317
53,0.0332731
54,0.0334567
55,0.0333123
56,0.0331069
57,0.0332435
58,0.0333855
59,0.0330065
60,0.0338696
61,0.0330511
62,0.0331541
63,0.0334542
64,0.0333757
65,0.0333818
66,0.0333543
67,0.0440133
68,0.0410962
69,0.0324647
70,0.03275
71,0.0337437
72,0.0321643
73,0.0332693
74,0.0333381
75,0.0345906
76,0.0330366
77,0.0331366
78,0.03349
79,0.0335373
80,0.0329738
81,0.0334157
82,0.0334398
83,0.0335786
84,0.033177
85,0.0331189
86,0.0332993
87,0.0335008
88,0.0330439
89,0.0335288
90,0.0331915
91,0.0336365
92,0.0328061
93,0.0334971
94,0.0334275
95,0.0332355
96,0.0335752
97,0.0330239
98,0.0336229
99,0.0329569
100,0.0337632
101,0.0328734
102,0.0332092
103,0.033112
104,0.0336691
105,0.0331292
106,0.0336391
107,0.0354798
108,0.0330915
109,0.0333089
110,0.0331338
111,0.0338598
112,0.03269
113,0.0336709
114,0.0329868
115,0.0337417
116,0.033105
117,0.0333765
118,0.0333876
119,0.0331464
120,0.0335393
121,0.0332635
122,0.0333539
123,0.0332878
124,0.0327399
125,0.0335169
126,0.0339174
127,0.0330579
128,0.0333465
129,0.0331632
130,0.0336108
131,0.0328389
132,0.0333457
133,0.0335787
134,0.0333447
135,0.0333635
136,0.0330476
137,0.0345062
138,0.033374
139,0.0337459
140,0.0328083
141,0.0332368
142,0.0335454
143,0.0332014
144,0.0332297
145,0.0333778
146,0.0331766
147,0.0345277
148,0.03223
149,0.0330507
150,0.0333396
151,0.0332624
152,0.0335109
153,0.0331756
154,0.0332701
155,0.0332739
156,0.0333947
157,0.0334856
158,0.033391
159,0.0329017
160,0.0338612
161,0.0326179
162,0.033778
163,0.0330668
164,0.0332476
165,0.0334436
166,0.0331635
167,0.0332471
168,0.035291
169,0.0336094
170,0.0321345
171,0.0332029
172,0.0331256
173,0.0332121
174,0.033077
175,0.0329485
176,0.0334798
177,0.0335801
178,0.0331324
179,0.0332261
180,0.0331959
181,0.0334375
182,0.0335892
183,0.0329925
184,0.0336737
185,0.0328785
186,0.0337645
187,0.0328959
188,0.0330407
189,0.0345239
190,0.0324243
191,0.0333411
192,0.03327
193,0.0329802
194,0.0336025
195,0.0335339
196,0.0329108
197,0.0340177
198,0.0332099
199,0.0328571
200,0.0331865
201,0.0333328
202,0.0335898
203,0.0331021
204,0.0333808
