[RANK | 7] Temp de Calcul       = 757.57 ms
[RANK | 7] Temp de Envoi        = 18.92 ms
[RANK | 2] Temp de Calcul       = 873.35 ms
[RANK | 2] Temp de Envoi        = 19.04 ms
[RANK | 3] Temp de Calcul       = 989.41 ms
[RANK | 3] Temp de Envoi        = 18.97 ms
[RANK | 5] Temp de Calcul       = 964.35 ms
[RANK | 5] Temp de Envoi        = 19.61 ms
[RANK | 4] Temp de Calcul       = 972.22 ms
[RANK | 4] Temp de Envoi        = 19.38 ms
[RANK | 1] Temp de Calcul       = 874.09 ms
[RANK | 1] Temp de Envoi        = 1.40 ms
[RANK | 6] Temp de Calcul       = 1084.40 ms
[RANK | 6] Temp de Envoi        = 1.22 ms
[RANK | 0] Temp de Calcul       = 652.88 ms
[RANK | 0] Temp de Reception        = 530.22 ms
Execution Ended
[RANK | 1] Temp de Calcul       = 877.97 ms
[RANK | 1] Temp de Envoi        = 1.38 ms
[RANK | 2] Temp de Calcul       = 923.52 ms
[RANK | 2] Temp de Envoi        = 0.93 ms
[RANK | 3] Temp de Calcul       = 928.83 ms
[RANK | 3] Temp de Envoi        = 5.73 ms
[RANK | 7] Temp de Calcul       = 852.62 ms
[RANK | 7] Temp de Envoi        = 22.54 ms
[RANK | 5] Temp de Calcul       = 948.11 ms
[RANK | 5] Temp de Envoi        = 22.85 ms
[RANK | 4] Temp de Calcul       = 1009.74 ms
[RANK | 4] Temp de Envoi        = 1.39 ms
[RANK | 6] Temp de Calcul       = 1192.49 ms
[RANK | 6] Temp de Envoi        = 1.03 ms
[RANK | 0] Temp de Calcul       = 866.06 ms
[RANK | 0] Temp de Reception        = 385.76 ms
Execution Ended
[RANK | 2] Temp de Calcul       = 775.04 ms
[RANK | 2] Temp de Envoi        = 54.69 ms
[RANK | 7] Temp de Calcul       = 664.85 ms
[RANK | 7] Temp de Envoi        = 158.61 ms
[RANK | 1] Temp de Calcul       = 828.94 ms
[RANK | 1] Temp de Envoi        = 1.41 ms
[RANK | 5] Temp de Calcul       = 898.45 ms
[RANK | 5] Temp de Envoi        = 20.25 ms
[RANK | 6] Temp de Calcul       = 953.91 ms
[RANK | 6] Temp de Envoi        = 19.33 ms
[RANK | 3] Temp de Calcul       = 983.28 ms
[RANK | 3] Temp de Envoi        = 1.02 ms
[RANK | 4] Temp de Calcul       = 949.48 ms
[RANK | 4] Temp de Envoi        = 15.55 ms
[RANK | 0] Temp de Calcul       = 757.91 ms
[RANK | 0] Temp de Reception        = 210.84 ms
Execution Ended
[RANK | 7] Temp de Calcul       = 659.98 ms
[RANK | 7] Temp de Envoi        = 118.73 ms
[RANK | 1] Temp de Calcul       = 818.75 ms
[RANK | 1] Temp de Envoi        = 1.35 ms
[RANK | 2] Temp de Calcul       = 831.38 ms
[RANK | 2] Temp de Envoi        = 1.15 ms
[RANK | 3] Temp de Calcul       = 924.83 ms
[RANK | 3] Temp de Envoi        = 1.09 ms
[RANK | 4] Temp de Calcul       = 928.02 ms
[RANK | 4] Temp de Envoi        = 1.03 ms
[RANK | 5] Temp de Calcul       = 932.79 ms
[RANK | 5] Temp de Envoi        = 1.47 ms
[RANK | 6] Temp de Calcul       = 1005.19 ms
[RANK | 6] Temp de Envoi        = 1.15 ms
[RANK | 0] Temp de Calcul       = 730.42 ms
[RANK | 0] Temp de Reception        = 289.28 ms
Execution Ended
[RANK | 1] Temp de Calcul       = 810.21 ms
[RANK | 1] Temp de Envoi        = 24.24 ms
[RANK | 7] Temp de Calcul       = 713.72 ms
[RANK | 7] Temp de Envoi        = 106.95 ms
[RANK | 2] Temp de Calcul       = 871.04 ms
[RANK | 2] Temp de Envoi        = 1.02 ms
[RANK | 5] Temp de Calcul       = 922.66 ms
[RANK | 5] Temp de Envoi        = 18.97 ms
[RANK | 3] Temp de Calcul       = 923.51 ms
[RANK | 3] Temp de Envoi        = 0.95 ms
[RANK | 4] Temp de Calcul       = 959.61 ms
[RANK | 4] Temp de Envoi        = 0.96 ms
[RANK | 6] Temp de Calcul       = 1019.68 ms
[RANK | 6] Temp de Envoi        = 1.10 ms
[RANK | 0] Temp de Calcul       = 701.14 ms
[RANK | 0] Temp de Reception        = 228.29 ms
Execution Ended
