[RANK | 0] Temp Total = 6.56 ms
[RANK | 0] Temp Total = 6.62 ms
[RANK | 0] Temp Total = 6.52 ms
[RANK | 0] Temp Total = 6.75 ms
[RANK | 0] Temp Total = 6.70 ms
[RANK | 0] Temp Total = 6.48 ms
[RANK | 0] Temp Total = 9.23 ms
[RANK | 0] Temp Total = 8.18 ms
[RANK | 0] Temp Total = 8.64 ms
[RANK | 0] Temp Total = 8.30 ms
[RANK | 0] Temp Total = 8.96 ms
[RANK | 0] Temp Total = 9.13 ms
[RANK | 0] Temp Total = 8.21 ms
[RANK | 0] Temp Total = 8.01 ms
[RANK | 0] Temp Total = 8.41 ms
[RANK | 0] Temp Total = 9.61 ms
[RANK | 0] Temp Total = 8.29 ms
[RANK | 0] Temp Total = 8.75 ms
[RANK | 0] Temp Total = 8.22 ms
[RANK | 0] Temp Total = 9.53 ms
[RANK | 0] Temp Total = 8.82 ms
[RANK | 0] Temp Total = 6.78 ms
[RANK | 0] Temp Total = 7.32 ms
[RANK | 0] Temp Total = 7.82 ms
[RANK | 0] Temp Total = 10.32 ms
[RANK | 0] Temp Total = 7.82 ms
[RANK | 0] Temp Total = 10.45 ms
[RANK | 0] Temp Total = 8.14 ms
[RANK | 0] Temp Total = 10.90 ms
[RANK | 0] Temp Total = 7.26 ms
